id,name,iso3,phone_code,capital,currency_name,continent_id,subcontinent_id,nationality,latitude,longitude
106,Israel,ISR,972,Jerusalem,Israeli new shekel,3,11,Israeli,31.5,34.75
107,Italy,ITA,39,Rome,Euro,4,16,Italian,42.83333333,12.83333333
108,Jamaica,JAM,+1-876,Kingston,Jamaican dollar,2,7,Jamaican,18.25,-77.5
109,Japan,JPN,81,Tokyo,Japanese yen,3,12,Japanese,36.0,138.0
110,Jersey,JEY,+44-1534,Saint Helier,British pound,4,18,Channel Island,49.25,-2.16666666
111,Jordan,JOR,962,Amman,Jordanian dinar,3,11,Jordanian,31.0,36.0
112,Kazakhstan,KAZ,7,Astana,Kazakhstani tenge,3,10,"Kazakhstani, Kazakh",48.0,68.0
113,Kenya,KEN,254,Nairobi,Kenyan shilling,1,4,Kenyan,1.0,38.0
114,Kiribati,KIR,686,Tarawa,Australian dollar,5,21,I-Kiribati,1.41666666,173.0
248,Kosovo,XKX,383,Pristina,Euro,4,15,"Kosovar, Kosovan",42.5612909,20.3403035
117,Kuwait,KWT,965,Kuwait City,Kuwaiti dinar,3,11,Kuwaiti,29.5,45.75
118,Kyrgyzstan,KGZ,996,Bishkek,Kyrgyzstani som,3,10,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz",41.0,75.0
119,Laos,LAO,856,Vientiane,Lao kip,3,13,"Lao, Laotian",18.0,105.0
120,Latvia,LVA,371,Riga,Euro,4,18,Latvian,57.0,25.0
121,Lebanon,LBN,961,Beirut,Lebanese pound,3,11,Lebanese,33.83333333,35.83333333
122,Lesotho,LSO,266,Maseru,Lesotho loti,1,5,Basotho,-29.5,28.5
123,Liberia,LBR,231,Monrovia,Liberian dollar,1,3,Liberian,6.5,-9.5
124,Libya,LBY,218,Tripolis,Libyan dinar,1,1,Libyan,25.0,17.0
125,Liechtenstein,LIE,423,Vaduz,Swiss franc,4,17,Liechtenstein,47.26666666,9.53333333
126,Lithuania,LTU,370,Vilnius,Euro,4,18,Lithuanian,56.0,24.0
127,Luxembourg,LUX,352,Luxembourg,Euro,4,17,"Luxembourg, Luxembourgish",49.75,6.16666666
128,Macau S.A.R.,MAC,853,Macao,Macanese pataca,3,12,"Macanese, Chinese",22.16666666,113.55
130,Madagascar,MDG,261,Antananarivo,Malagasy ariary,1,4,Malagasy,-20.0,47.0
131,Malawi,MWI,265,Lilongwe,Malawian kwacha,1,4,Malawian,-13.5,34.0
132,Malaysia,MYS,60,Kuala Lumpur,Malaysian ringgit,3,13,Malaysian,2.5,112.5
133,Maldives,MDV,960,Male,Maldivian rufiyaa,3,14,Maldivian,3.25,73.0
134,Mali,MLI,223,Bamako,West African CFA franc,1,3,"Malian, Malinese",17.0,-4.0
135,Malta,MLT,356,Valletta,Euro,4,16,Maltese,35.83333333,14.58333333
136,Man (Isle of),IMN,+44-1624,"Douglas, Isle of Man",British pound,4,18,Manx,54.25,-4.5
137,Marshall Islands,MHL,692,Majuro,United States dollar,5,21,Marshallese,9.0,168.0
138,Martinique,MTQ,596,Fort-de-France,Euro,2,7,"Martiniquais, Martinican",14.666667,-61.0
139,Mauritania,MRT,222,Nouakchott,Mauritanian ouguiya,1,3,Mauritanian,20.0,-12.0
140,Mauritius,MUS,230,Port Louis,Mauritian rupee,1,4,Mauritian,-20.28333333,57.55
141,Mayotte,MYT,262,Mamoudzou,Euro,1,4,Mahoran,-12.83333333,45.16666666
142,Mexico,MEX,52,Ciudad de México,Mexican peso,2,9,Mexican,23.0,-102.0
143,Micronesia,FSM,691,Palikir,United States dollar,5,21,Micronesian,6.91666666,158.25
144,Moldova,MDA,373,Chisinau,Moldovan leu,4,15,Moldovan,47.0,29.0
145,Monaco,MCO,377,Monaco,Euro,4,17,"Monegasque, Monacan",43.73333333,7.4
146,Mongolia,MNG,976,Ulan Bator,Mongolian tögrög,3,12,Mongolian,46.0,105.0
147,Montenegro,MNE,382,Podgorica,Euro,4,16,Montenegrin,42.5,19.3
148,Montserrat,MSR,+1-664,Plymouth,Eastern Caribbean dollar,2,7,Montserratian,16.75,-62.2
149,Morocco,MAR,212,Rabat,Moroccan dirham,1,1,Moroccan,32.0,-5.0
150,Mozambique,MOZ,258,Maputo,Mozambican metical,1,4,Mozambican,-18.25,35.0
151,Myanmar,MMR,95,Nay Pyi Taw,Burmese kyat,3,13,Burmese,22.0,98.0
152,Namibia,NAM,264,Windhoek,Namibian dollar,1,5,Namibian,-22.0,17.0
153,Nauru,NRU,674,Yaren,Australian dollar,5,21,Nauruan,-0.53333333,166.91666666
154,Nepal,NPL,977,Kathmandu,Nepalese rupee,3,14,"Nepali, Nepalese",28.0,84.0
156,Netherlands,NLD,31,Amsterdam,Euro,4,17,"Dutch, Netherlandic",52.5,5.75
157,New Caledonia,NCL,687,Noumea,CFP franc,5,20,New Caledonian,-21.5,165.5
158,New Zealand,NZL,64,Wellington,New Zealand dollar,5,19,"New Zealand, NZ",-41.0,174.0
159,Nicaragua,NIC,505,Managua,Nicaraguan córdoba,2,9,Nicaraguan,13.0,-85.0
160,Niger,NER,227,Niamey,West African CFA franc,1,3,Nigerien,16.0,8.0
161,Nigeria,NGA,234,Abuja,Nigerian naira,1,3,Nigerian,10.0,8.0
162,Niue,NIU,683,Alofi,New Zealand dollar,5,22,Niuean,-19.03333333,-169.86666666
163,Norfolk Island,NFK,672,Kingston,Australian dollar,5,19,Norfolk Island,-29.03333333,167.95
115,North Korea,PRK,850,Pyongyang,North Korean Won,3,12,North Korean,40.0,127.0
129,North Macedonia,MKD,389,Skopje,Denar,4,16,Macedonian,41.83333333,22.0
164,Northern Mariana Islands,MNP,+1-670,Saipan,United States dollar,5,21,Northern Marianan,15.2,145.75
165,Norway,NOR,47,Oslo,Norwegian krone,4,18,Norwegian,62.0,10.0
166,Oman,OMN,968,Muscat,Omani rial,3,11,Omani,21.0,57.0
167,Pakistan,PAK,92,Islamabad,Pakistani rupee,3,14,Pakistani,30.0,70.0
168,Palau,PLW,680,Melekeok,United States dollar,5,21,Palauan,7.5,134.5
169,Palestinian Territory Occupied,PSE,970,East Jerusalem,Israeli new shekel,3,11,Palestinian,31.9,35.2
170,Panama,PAN,507,Panama City,Panamanian balboa,2,9,Panamanian,9.0,-80.0
171,Papua New Guinea,PNG,675,Port Moresby,Papua New Guinean kina,5,20,"Papua New Guinean, Papuan",-6.0,147.0
172,Paraguay,PRY,595,Asuncion,Paraguayan guarani,2,8,Paraguayan,-23.0,-58.0
173,Peru,PER,51,Lima,Peruvian sol,2,8,Peruvian,-10.0,-76.0
174,Philippines,PHL,63,Manila,Philippine peso,3,13,"Philippine, Filipino",13.0,122.0
175,Pitcairn Island,PCN,870,Adamstown,New Zealand dollar,5,22,Pitcairn Island,-25.06666666,-130.1
176,Poland,POL,48,Warsaw,Polish złoty,4,15,Polish,52.0,20.0
177,Portugal,PRT,351,Lisbon,Euro,4,16,Portuguese,39.5,-8.0
178,Puerto Rico,PRI,+1-787 and 1-939,San Juan,United States dollar,2,7,Puerto Rican,18.25,-66.5
179,Qatar,QAT,974,Doha,Qatari riyal,3,11,Qatari,25.5,51.25
180,Reunion,REU,262,Saint-Denis,Euro,1,4,"Reunionese, Reunionnais",-21.15,55.5
181,Romania,ROU,40,Bucharest,Romanian leu,4,15,Romanian,46.0,25.0
182,Russia,RUS,7,Moscow,Russian ruble,4,15,Russian,60.0,100.0
183,Rwanda,RWA,250,Kigali,Rwandan franc,1,4,Rwandan,-2.0,30.0
184,Saint Helena,SHN,290,Jamestown,Saint Helena pound,1,3,Saint Helenian,-15.95,-5.7
185,Saint Kitts and Nevis,KNA,+1-869,Basseterre,Eastern Caribbean dollar,2,7,Kittitian or Nevisian,17.33333333,-62.75
186,Saint Lucia,LCA,+1-758,Castries,Eastern Caribbean dollar,2,7,Saint Lucian,13.88333333,-60.96666666
187,Saint Pierre and Miquelon,SPM,508,Saint-Pierre,Euro,2,6,Saint-Pierrais or Miquelonnais,46.83333333,-56.33333333
188,Saint Vincent and the Grenadines,VCT,+1-784,Kingstown,Eastern Caribbean dollar,2,7,"Saint Vincentian, Vincentian",13.25,-61.2
189,Saint-Barthelemy,BLM,590,Gustavia,Euro,2,7,Barthelemois,18.5,-63.41666666
190,Saint-Martin (French part),MAF,590,Marigot,Euro,2,7,Saint-Martinoise,18.08333333,-63.95
191,Samoa,WSM,685,Apia,Samoan tālā,5,22,Samoan,-13.58333333,-172.33333333
192,San Marino,SMR,378,San Marino,Euro,4,16,Sammarinese,43.76666666,12.41666666
193,Sao Tome and Principe,STP,239,Sao Tome,Dobra,1,2,Sao Tomean,1.0,7.0
194,Saudi Arabia,SAU,966,Riyadh,Saudi riyal,3,11,"Saudi, Saudi Arabian",25.0,45.0
195,Senegal,SEN,221,Dakar,West African CFA franc,1,3,Senegalese,14.0,-14.0
196,Serbia,SRB,381,Belgrade,Serbian dinar,4,16,Serbian,44.0,21.0
197,Seychelles,SYC,248,Victoria,Seychellois rupee,1,4,Seychellois,-4.58333333,55.66666666
